Designator,Mid X,Mid Y,Rotation,Layer
R281,198.779685,-197.446744,90.0,top
R282,199.726085,-183.6118,0.0,top
R283,199.731685,-194.361144,0.0,top
R284,199.726085,-181.8592,180.0,top
R285,199.731685,-192.608544,180.0,top
R286,200.602885,-186.6852,270.0,top
R287,200.608485,-197.434544,270.0,top
R288,218.248685,-186.696222,0.0,top
R289,218.254285,-197.445566,0.0,top
R290,214.870485,-187.4472,0.0,top
R291,214.876085,-198.196544,0.0,top
R292,214.895885,-185.6946,0.0,top
R293,214.901485,-196.443944,0.0,top
R294,203.295285,-202.615524,0.0,top
R295,214.623685,-203.885524,180.0,top
R296,123.192642,-249.38695,180.0,top
R297,123.205042,-252.91755,0.0,top
R298,123.205042,-251.24115,0.0,top
R300,62.274,-196.147,180.0,top
R301,58.337,-196.147,180.0,top
R302,58.435544,-229.503423,180.0,top
R303,58.423344,-227.877823,180.0,top
R304,61.674544,-240.874593,0.0,top
R305,58.423344,-226.252223,180.0,top
R306,58.474144,-240.874593,0.0,top
R307,56.848544,-237.216993,180.0,top
R308,69.396144,-231.586223,0.0,top
R309,69.396144,-229.909823,0.0,top
R310,58.512744,-235.388193,180.0,top
R311,67.872144,-248.031,0.0,top
R312,58.435544,-248.189793,0.0,top
R313,58.423344,-251.593393,180.0,top
R314,58.423344,-249.916993,180.0,top
R315,69.333144,-254.059,180.0,top
R316,69.294544,-237.572593,180.0,top
R317,69.345344,-252.027,0.0,top
R318,139.41208,-191.114614,0.0,top
R319,91.313621,-191.114614,0.0,top
R320,148.538871,-257.5052,0.0,top
R321,144.113944,-259.334,0.0,top
R322,150.20708,-204.2034,0.0,top
R323,102.108621,-204.2034,0.0,top
R324,150.20708,-200.9014,180.0,top
R325,102.108621,-200.9014,180.0,top
R326,150.20708,-202.5524,0.0,top
R327,102.108621,-202.5524,0.0,top
R328,120.52248,-192.562814,270.0,top
R329,72.424021,-192.562814,270.0,top
R330,118.87148,-192.625814,90.0,top
R331,70.773021,-192.625814,90.0,top
R332,148.577471,-248.0818,0.0,top
R333,148.564271,-250.6218,180.0,top
R334,148.552071,-252.349,0.0,top
R335,148.564271,-254.0508,0.0,top
R336,148.564271,-255.7526,0.0,top
R337,135.306494,-250.72975,0.0,top
R338,185.673992,-243.6876,0.0,top
R339,154.159,-171.001,0.0,top
R340,103.422,-176.97,0.0,top
U201,144.87308,-191.876614,270.0,top
U202,144.807813,-200.195014,270.0,top
U203,123.535987,-198.933502,270.0,top
U204,96.774621,-191.876614,270.0,top
U205,96.709354,-200.195014,270.0,top
U206,75.437528,-198.933502,270.0,top
U207,177.006285,-173.0756,270.0,top
U208,172.224192,-238.224488,270.0,top
U209,101.373645,-230.138423,270.0,top
U210,101.359445,-251.847393,270.0,top
U211,101.373645,-237.293193,270.0,top
U213,202.9968,-232.0798,270.0,top
U214,217.561819,-232.155022,270.0,top
U215,217.561819,-244.6274,270.0,top
U216,170.161485,-198.336951,270.0,top
U217,170.173685,-191.9478,270.0,top
U218,141.7716,-237.0582,270.0,top
U219,208.984885,-185.466,270.0,top
U220,208.990485,-196.215344,270.0,top
U221,208.984885,-203.250524,270.0,top
U222,129.580294,-250.95835,270.0,top
U223,59.988,-200.0205,270.0,top
U225,63.873144,-230.138423,270.0,top
U226,63.858944,-251.847393,270.0,top
U227,63.873144,-237.293193,270.0,top
U228,141.827944,-248.92,270.0,top
